"","P_6","P_10","P_12","P_45","P_73","P_146","P_226","P_235","P_243","P_291","P_295"
"1",15,4,4,5,-88,4,3,1300000,0,1,0
"2",16,2,3,2,0,5,3,120000,0,1,0
"3",15,4,2,4,0,5,3,8e+05,0,0,-98
"4",60,1,4,2,0,5,3,2e+05,0,1,1
"5",15,2,2,3,-88,5,3,3e+05,0,1,0
"6",50,2,5,0,-88,5,3,250000,0,1,0
"7",5,3,2,2,-88,4,3,-98,0,1,0
"8",5,3,2,2,0,5,3,6e+05,0,0,-98
"9",16,3,3,6,1,4,3,7e+05,7e+05,0,0
"10",60,2,4,0,0,5,3,4e+05,0,0,-98
"11",5,3,4,2,0,5,3,4e+05,0,1,0
"12",5,3,4,8,-88,4,3,1500000,1700000,0,1
"13",5,3,1,6,-88,4,5,230000,318000,0,-98
"14",1,1,4,4,-88,5,1,4e+05,0,1,0
"15",16,1,3,0,0,5,3,-98,0,0,-98
"16",60,1,5,0,0,4,3,3e+05,5e+05,1,0
"17",2,2,1,0,0,5,3,2000,0,1,1
"18",60,2,3,2,0,5,3,7e+05,0,0,0
"19",16,3,8,2,0,5,3,5e+05,330000,0,-98
"20",15,3,3,2,0,4,3,-98,0,0,-98
"21",5,3,2,4,1,5,3,-98,5e+05,1,0
"22",16,4,3,2,0,5,3,250000,-98,1,0
"23",5,3,2,3,0,5,3,8e+05,0,0,-98
"24",12,3,2,-99,0,4,2,-98,-98,1,0
"25",60,1,7,0,-88,4,3,-98,0,1,1
"26",15,3,2,-98,-88,4,3,-99,0,0,-98
"27",16,3,4,2,0,5,3,1e+06,0,1,0
"28",5,2,3,6,1,4,1,8e+05,0,1,0
"29",60,2,2,4,-88,5,3,4e+05,2e+06,1,0
"30",6,3,3,4,-88,4,1,6e+05,-98,0,-98
"31",70,2,4,0,0,5,3,6e+05,-98,1,1
"32",11,5,4,10,-88,4,2,7e+05,0,0,-98
"33",1,1,2,4,-88,4,1,2e+05,-88,1,0
"34",60,3,3,2,-88,5,2,-98,4e+05,1,1
"35",2,2,2,2,0,5,3,1e+06,1e+06,1,0
"36",70,2,3,4,1,4,1,240000,440000,1,0
"37",8,1,5,2,-88,5,3,-98,0,1,0
"38",1,1,3,2,-88,5,3,-88,-88,0,0
"39",60,2,4,2,-88,4,3,350000,0,1,0
"40",15,2,5,3,0,5,3,1e+06,5e+05,1,1
"41",60,2,1,4,0,5,3,-98,7e+05,1,0
"42",15,3,3,0,0,5,3,840000,0,0,-98
"43",5,3,2,6,-88,4,1,4e+05,150000,1,0
"44",16,3,2,6,-88,4,3,1500000,1800000,0,-98
"45",1,2,2,4,-88,4,3,2e+05,0,0,-98
"46",5,3,4,2,0,5,3,6e+05,8e+05,0,-98
"47",16,5,2,7,1,4,3,750000,2600000,0,-98
"48",60,3,3,2,0,5,3,3e+05,350000,1,0
"49",60,3,4,2,-88,5,3,4e+05,2e+05,0,-98
"50",14,3,5,5,0,4,1,6e+05,0,1,0
"51",15,3,4,4,0,5,3,1e+06,-98,1,0
"52",2,1,5,2,-88,5,3,4e+05,0,1,1
"53",3,1,4,0,0,5,4,3e+05,-98,1,1
"54",1,2,3,2,0,4,3,4e+05,0,1,1
"55",6,1,4,3,0,4,3,-98,0,1,1
"56",5,3,3,2,-88,5,3,-98,7e+06,1,0
"57",1,2,3,0,0,5,3,-88,-88,1,1
"58",5,3,3,6,-88,5,1,7e+05,350000,0,0
"59",15,3,2,2,0,5,1,4e+05,0,1,0
"60",5,2,2,2,-88,4,3,650000,412000,1,0
"61",6,1,4,4,-88,5,2,8e+05,-98,0,-98
"62",6,1,2,4,-88,5,3,150000,0,1,1
"63",1,1,3,0,0,5,3,3e+05,0,1,1
"64",1,2,4,3,0,5,2,6e+05,6e+05,1,1
"65",4,3,5,3,-88,5,3,-98,-99,1,0
"66",4,4,5,7,-88,4,3,0,0,0,-98
"67",1,2,6,2,0,4,3,8e+05,0,1,0
"68",6,2,5,4,-88,4,3,2e+05,-88,1,1
"69",2,2,4,2,-88,4,3,-98,140000,1,1
"70",5,3,2,2,0,4,3,5e+05,4e+05,0,-98
"71",5,3,2,2,0,5,3,1e+05,-88,1,0
"72",5,1,5,4,-88,4,4,7e+05,180000,1,1
"73",2,1,5,5,1,4,1,380000,2e+05,1,0
"74",1,2,2,2,0,5,3,420000,0,0,-98
"75",6,1,3,4,-88,4,3,4e+05,104000,1,1
"76",6,1,3,4,0,4,2,330000,3e+05,1,1
"77",5,3,4,4,1,5,1,6e+05,2e+05,0,-98
"78",1,2,4,4,-88,4,1,3e+05,0,1,0
"79",5,3,3,7,-88,5,1,7e+05,6e+05,0,-98
"80",5,3,4,4,0,5,1,450000,0,1,0
"81",2,2,4,4,1,4,3,8e+05,-98,0,-98
"82",5,2,5,2,0,5,4,-88,-88,0,-98
"83",5,2,2,3,0,4,1,3e+05,0,0,0
"84",6,2,3,2,0,5,3,8e+05,6e+05,1,1
"85",5,2,4,2,-88,5,3,8e+05,2e+05,0,-98
"86",80,3,3,4,-88,4,1,4e+05,2100000,1,0
"87",70,2,4,-98,-88,5,3,5e+05,0,0,-98
